Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,24,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,2,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,4,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,26,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,26,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,4,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,27,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,37,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,40,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,30,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,22,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,29,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,5,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,12,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,34,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,43,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,15,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,14,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,7,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,20,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,14,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,12,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,13,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,13,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,29,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,7,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,16,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,20,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,35,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,27,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,34,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,32,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,14,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,COFFEE,31,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,14,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,12,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,27,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,6,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,13,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,33,38.2
CENSUS,2022,YEAR,,COUNTY,ALABAMA,1,WIREGRASS,60,PIKE,109,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,6,38.2
CENSUS,2022,YEAR,,COUNTY,ALASKA,2,KENAI PENINSULA,30,KENAI PENINSULA,,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,34,(L)
CENSUS,2022,YEAR,,COUNTY,ALASKA,2,MATANUSKA-SUSITNA-ANCHORAGE,20,ANCHORAGE,,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,47,(L)
CENSUS,2022,YEAR,,COUNTY,ALASKA,2,SOUTHWEST & WEST,50,ALEUTIAN ISLANDS,,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,YEAR,,COUNTY,ALASKA,2,TANANA VALLEY,10,FAIRBANKS NORTH STAR,,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,34,(L)
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,NORTHERN,10,COCONINO,5,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,NORTHERN,10,GILA,7,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,4,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,9,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,SOUTHERN,80,COCHISE,3,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,32,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,SOUTHERN,80,GREENLEE,11,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,1,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,69,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,SOUTHERN,80,PIMA,19,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,19,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,27,46.6
CENSUS,2022,YEAR,,COUNTY,ARIZONA,4,SOUTHERN,80,YUMA,27,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,15,46.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,CENTRAL,50,CONWAY,29,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,2,(L)
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,CENTRAL,50,FAULKNER,45,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,27,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,CENTRAL,50,GARLAND,51,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,12,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,CENTRAL,50,GRANT,53,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,4,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,CENTRAL,50,HOT SPRING,59,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,20,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,CENTRAL,50,PERRY,105,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,CENTRAL,50,PULASKI,119,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,19,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,CENTRAL,50,SALINE,125,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,7,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,21,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,1,(L)
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,BAXTER,5,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,18,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,CLEBURNE,23,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,FULTON,49,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,IZARD,65,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,9,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,MARION,89,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,6,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,SEARCY,129,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,6,(L)
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,SHARP,135,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,STONE,137,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,(L)
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,VAN BUREN,141,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,10,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,CLAY,21,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,13,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,CRAIGHEAD,31,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,9,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,GREENE,55,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,INDEPENDENCE,63,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,9,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,JACKSON,67,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,5,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,LAWRENCE,75,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,MISSISSIPPI,93,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,6,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,RANDOLPH,121,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,10,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHEAST,30,WHITE,145,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,10,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHWEST,10,BENTON,7,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,40,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHWEST,10,BOONE,9,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,11,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHWEST,10,CARROLL,15,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,14,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHWEST,10,MADISON,87,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,18,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,NORTHWEST,10,WASHINGTON,143,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,67,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,SOUTH CENTRAL,80,BRADLEY,11,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,3,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,SOUTH CENTRAL,80,CALHOUN,13,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,6,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,SOUTH CENTRAL,80,CLARK,19,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,4,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,SOUTH CENTRAL,80,CLEVELAND,25,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,4,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,SOUTH CENTRAL,80,COLUMBIA,27,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,9,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,SOUTH CENTRAL,80,NEVADA,99,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,1,(L)
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,SOUTH CENTRAL,80,OUACHITA,103,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,4,33.6
CENSUS,2022,YEAR,,COUNTY,ARKANSAS,5,SOUTH CENTRAL,80,UNION,139,,,0,,HONEY,HONEY - OPERATIONS WITH PRODUCTION,TOTAL,NOT SPECIFIED,8,33.6
